time,ssrd,d2m,t2m
202001141500,555.0333333,20.3727,24.91934
202001141530,481.6283333,20.26553,24.8379
202001141600,408.2233333,20.15835,24.7565
202001141630,306.7325,19.88088,24.73037
202001141700,205.2416389,19.60342,24.70425
202001141730,123.72675,19.5325,24.52444
202001141800,42.211875,19.46157,24.34463
202001141830,21.1059375,19.5768,24.17202
202001141900,0,19.69204,23.9994
202001141930,0,19.64565,24.01724
202001142000,0,19.59927,24.03506
202001142030,0,19.56057,23.92666
202001142100,0,19.52188,23.81826
202001142130,0,19.48086,23.76895
202001142200,0,19.43984,23.71963
202001142230,0,19.26895,23.67507
202001142300,0,19.09805,23.63052
202001142330,0,19.006,23.5806
202001150000,0,18.91396,23.53066
202001150030,0,18.77444,23.475
202001150100,0,18.6349,23.41934
202001150130,0,18.39578,23.3351
202001150200,0,18.15664,23.25088
202001150230,0,17.91567,23.12563
202001150300,0,17.6747,23.0004
202001150330,0,17.61343,22.9308
202001150400,0,17.55215,22.86123
202001150430,0,17.45327,22.6907
202001150500,0,17.3544,22.52017
202001150530,0,17.37185,22.41982
202001150600,0,17.3893,22.31948
202001150630,0,17.37942,22.3295
202001150700,0,17.36953,22.3395
202001150730,19.92948889,17.30496,22.46865
202001150800,39.858975,17.24038,22.5978
202001150830,124.2629444,17.11416,23.2665
202001150900,208.6669167,16.98794,23.9352
202001150930,305.2881944,16.81606,24.22122
202001151000,401.9094444,16.6442,24.50723
202001151030,468.6656944,16.6526,24.6846
202001151100,535.4219444,16.66104,24.86196
202001151130,602.1756944,16.64175,24.94265
202001151200,668.9294444,16.62246,25.02334
202001151230,692.6109722,16.63064,25.01235
202001151300,716.2925,16.63882,25.00137
202001151330,699.0495833,16.64236,24.96902
202001151400,681.8066667,16.6459,24.93667
202001151430,630.3676389,16.60647,24.94705
202001151500,578.9286111,16.56704,24.95742
202001151530,501.6730556,16.6121,24.8848
202001151600,424.4175,16.65713,24.81216
202001151630,326.5556667,16.83218,24.57803
202001151700,228.6938194,17.00723,24.3439
202001151730,137.4412778,17.0983,24.1326
202001151800,46.18873333,17.18936,23.9213
202001151830,23.09436667,17.251,23.76406
202001151900,0,17.31265,23.60684
202001151930,0,17.39895,23.57485
202001152000,0,17.48525,23.54287
202001152030,0,17.53677,23.46987
202001152100,0,17.58828,23.39688
202001152130,0,17.74307,23.31252
202001152200,0,17.89785,23.22817
202001152230,0,17.8224,23.18813
202001152300,0,17.74697,23.1481
202001152330,0,17.66396,23.03396
202001160000,0,17.58096,22.91982
202001160030,0,17.56777,22.85452
202001160100,0,17.5546,22.7892
202001160130,0,17.532,22.72976
202001160200,0,17.50942,22.6703
202001160230,0,17.44082,22.4756
202001160300,0,17.37222,22.2809
202001160330,0,17.37747,22.2665
202001160400,0,17.3827,22.2521
202001160430,0,17.1963,22.08596
202001160500,0,17.0099,21.91982
202001160530,0,17.01248,21.93728
202001160600,0,17.01504,21.95474
202001160630,0,17.00552,22.02944
202001160700,0,16.996,22.10415
202001160730,21.24506111,16.939,22.21707
202001160800,42.49012222,16.88198,22.32998
202001160830,133.0345667,16.82437,22.93325
202001160900,223.5790111,16.76675,23.53652
202001160930,321.2917222,16.42385,23.95352
202001161000,419.0044444,16.08096,24.3705
